 13.54	14448	0	K1	6072	          Eumetazoa
 13.54	14448	0	K2	33213	            Bilateria
 13.54	14448	0	K3	33511	              Deuterostomia
 13.54	14448	0	P	7711	                Chordata
 13.54	14448	0	P1	89593	                  Craniata
 13.54	14448	0	P2	7742	                    Vertebrata
 13.54	14448	0	P3	7776	                      Gnathostomata
 13.54	14448	0	P4	117570	                        Teleostomi
 13.54	14448	0	P5	117571	                          Euteleostomi
 13.54	14448	0	P6	8287	                            Sarcopterygii
 13.54	14448	0	P7	1338369	                              Dipnotetrapodomorpha
 13.54	14448	0	P8	32523	                                Tetrapoda
 13.54	14448	0	P9	32524	                                  Amniota
 13.54	14448	0	C	40674	                                    Mammalia
 13.54	14448	0	C1	32525	                                      Theria
 13.54	14448	0	C2	9347	                                        Eutheria
 13.54	14448	0	C3	1437010	                                          Boreoeutheria
 13.54	14448	0	C4	314146	                                            Euarchontoglires
 13.54	14448	0	O	9443	                                              Primates
 13.54	14448	0	O1	376913	                                                Haplorrhini
 13.54	14448	0	O2	314293	                                                  Simiiformes
 13.54	14448	0	O3	9526	                                                    Catarrhini
 13.54	14448	0	O4	314295	                                                      Hominoidea
 13.54	14448	0	F	9604	                                                        Hominidae
 13.54	14448	0	F1	207598	                                                          Homininae
 13.54	14448	0	G	9605	                                                            Homo
 13.54	14448	14448	S	9606	                                                              Homo sapiens
  0.86	914	47	D	2	    Bacteria
  0.48	516	15	P	1224	      Proteobacteria
  0.39	416	39	C	1236	        Gammaproteobacteria
  0.24	258	35	O	91347	          Enterobacterales
  0.16	170	29	F	543	            Enterobacteriaceae
  0.07	77	0	G	561	              Escherichia
  0.07	76	74	S	562	                Escherichia coli
  0.00	1	1	S1	566546	                  Escherichia coli W
  0.00	1	1	S1	2810406	                  Escherichia coli O89m:H9
  0.00	1	1	S	1499973	                Escherichia marmotae
  0.06	60	0	F1	2890311	              Klebsiella/Raoultella group
  0.06	60	16	G	570	                Klebsiella
  0.04	44	44	S	573	                  Klebsiella pneumoniae
